title,description,age_min,age_max,tags,cost,indoor_outdoor,season,players,duration_mins,source,dataset_url,fetched_at
College Preparation Workshop,Activities focused on preparing for higher education and career planning,17,20,"education, planning, career",low,indoor,all,1-5,90,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Social Gathering Activity,Group activities for socializing with peers,16,19,"social, fun, friendship",medium,both,all,3-10,120,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
College Preparation Workshop,Activities focused on preparing for higher education and career planning,16,19,"education, planning, career",low,indoor,all,1-5,90,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Social Gathering Activity,Group activities for socializing with peers,15,18,"social, fun, friendship",medium,both,all,3-10,120,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
College Preparation Workshop,Activities focused on preparing for higher education and career planning,14,17,"education, planning, career",low,indoor,all,1-5,90,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Extracurricular Club Activities,"Participation in school clubs, sports, or other organized activities",14,16,"social, learning, teamwork",low,both,all,2-20,105,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Study Group Session,Collaborative learning and homework help,13,16,"education, academic, teamwork",free,indoor,all,2-6,90,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
College Preparation Workshop,Activities focused on preparing for higher education and career planning,15,18,"education, planning, career",low,indoor,all,1-5,90,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Extracurricular Club Activities,"Participation in school clubs, sports, or other organized activities",15,17,"social, learning, teamwork",low,both,all,2-20,90,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Social Gathering Activity,Group activities for socializing with peers,14,17,"social, fun, friendship",medium,both,all,3-10,120,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
