title,description,age_min,age_max,tags,cost,indoor_outdoor,season,players,duration_mins,source,fetched_at
Infant Care and Interaction,"Parent-child interaction activities including talking, singing, and playing",0,2,"care, bonding, development",free,indoor,all,1-2,30,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Toddler Physical Play,"Active play activities like crawling, walking, climbing on safe equipment",1,3,"physical, motor_skills, active",free,both,all,1-4,45,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Early Learning Activities,"Basic learning activities with shapes, colors, and simple puzzles",2,4,"education, cognitive, learning",low,indoor,all,1-3,20,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Playground Time,Supervised outdoor play on playground equipment,2,5,"outdoor, physical, social",free,outdoor,spring,1-10,60,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Arts and Crafts Time,"Creative activities including drawing, painting, cutting, and gluing",4,7,"art, creative, fine_motor",low,indoor,all,1-6,45,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Educational TV and Media,Age-appropriate educational programs and interactive learning apps,3,6,"education, media, learning",low,indoor,all,1-2,30,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Organized Sports Introduction,"Basic sports skills for soccer, T-ball, or swimming",4,6,"sports, physical, teamwork",medium,outdoor,spring,8-15,60,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Playdates and Social Activities,Structured playtime with peers at home or community centers,3,6,"social, play, friendship",free,both,all,2-6,90,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Reading and Literacy Activities,"Reading books, storytelling, and early literacy activities",3,6,"literacy, reading, education",free,indoor,all,1-3,25,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Homework and Study Time,Completing school assignments and studying,6,12,"education, academic, learning",free,indoor,all,1,60,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Organized Team Sports,"Participating in soccer, basketball, baseball, or other team sports",7,12,"sports, teamwork, competition",medium,outdoor,all,10-20,90,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Music Lessons and Practice,Learning and practicing musical instruments,6,12,"music, learning, creative",high,indoor,all,1-3,45,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Video Gaming,Playing age-appropriate video games,7,14,"gaming, entertainment, technology",medium,indoor,all,1-4,90,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Outdoor Recreation,"Biking, hiking, or playing in nature",7,12,"outdoor, physical, nature",low,outdoor,summer,1-6,120,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Art Classes,Structured art instruction and projects,7,12,"art, creative, learning",medium,indoor,all,8-15,75,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Socializing with Friends,"Hanging out, talking, and spending time with friends",11,18,"social, friendship, communication",low,both,all,2-8,120,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Competitive Sports,High-level organized sports with training and competitions,11,18,"sports, competition, fitness",high,both,all,10-30,120,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Part-time Work,Working part-time jobs after school or on weekends,14,18,"work, responsibility, income",free,both,all,1,180,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Volunteer Activities,Community service and volunteering,12,18,"volunteer, community, service",free,both,all,5-20,120,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Social Media and Online Activities,"Using social media, browsing internet, online communication",11,18,"technology, social, online",low,indoor,all,1,90,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Exercise and Fitness,"Working out, running, or going to the gym",12,25,"fitness, health, exercise",medium,both,all,1-3,60,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Creative Hobbies,"Photography, writing, crafting, or other creative pursuits",11,18,"creative, hobbies, art",medium,indoor,all,1-3,90,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Academic Clubs and Competitions,"Debate, math club, science olympiad, or academic competitions",11,18,"academic, competition, learning",low,indoor,all,4-15,120,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Driving and Transportation,Learning to drive or spending time on transportation,15,18,"driving, transportation, independence",medium,outdoor,all,1-2,45,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
Dating and Romantic Activities,Going on dates or spending time with romantic partners,14,18,"social, relationships, romantic",medium,both,all,2,120,American Time Use Survey (ATUS) Categories,2025-11-21T16:53:18.558244
